model,category,national_origin,type,launch_platform,name,name_NATO,in_sevice,designer,manufacturer,guidance_system,unit_cost
X-31P,cruise missile,russia,"air-launched anti-radiation","Su-30/34/35, MiG-29/35",Kh-31P,AS-17 Krypton,1988,Zvezda-Strela,Tactical Missiles Corporation,Inertial / passive radar seeker,
X-31PD,cruise missile,russia,"air-launched anti-radiation (extended-range)","Su-30/34/35, MiG-29/35",Kh-31PD,AS-17 Krypton,2012,Zvezda-Strela,Tactical Missiles Corporation,Inertial / passive radar seeker,
X-32,cruise missile,russia,"air-launched, supersonic high-altitude",Tu-22M3M,Kh-32,AS-4 Kitchen,2016,MKB Raduga,MKB Raduga,Inertial / active radar,
X-35,cruise missile,russia,"anti-ship, subsonic","Tu-142, Su-24, MiG-29M/K, Bal coastal",Kh-35 Uran,AS-20 Kayak / SS-N-25 Switchblade,2003,Zvezda-Strela,Tactical Missiles Corporation,"Inertial, active radar terminal",~500000 USD
X-47 Kinzhal and Iskander-M/KN-23,cruise missile,russia,,,,,,,,,
X-59,cruise missile,russia,"air-launched, air-to-surface, TV-guided","Su-30, Su-34, Su-24M",Kh-59 Ovod,AS-13 Kingbolt / AS-18 Kazoo,1980,MKB Raduga,Tactical Missiles Corporation,Inertial / TV command,
X-59 and X-35,cruise missile,russia,,,,,,,,,
X-59/X-69,cruise missile,russia,,,,,,,,,
X-59MK2,cruise missile,russia,"low-RCS land-attack",Su-57,Kh-59MK2,AS-22,2015,MKB Raduga,Tactical Missiles Corporation,"Inertial, GLONASS, EO terminal",
X-69,cruise missile,russia,"air-launched, low-RCS, stealth land-attack","Su-34, Su-35, Su-57",Kh-69,,2023,MKB Raduga,Tactical Missiles Corporation,"Inertial, GLONASS, EO/IIR terminal",
GBU,guided bomb,russia,"INS/satellite-guided glide bomb (UMPK kit on FAB-250/500/1500/3000)","Su-34, Su-35",FAB + UMPK,,2023,NPO Bazalt,NPO Bazalt,"Inertial, GLONASS",~25000 USD
C-300 and Iskander-M,surface-to-air and ballistic,russia,,,,,,,,,
C-300/C-400 and Iskander-M,surface-to-air and ballistic,russia,,,,,,,,,
C-400 and Iskander-M,surface-to-air and ballistic,russia,,,,,,,,,
C-300,surface-to-air missile,russia,"long-range SAM (used in surface-to-surface mode against Ukraine)",5P85 TEL,S-300P/PMU,SA-10 Grumble / SA-20 Gargoyle,1978,Almaz-Antey Corporation,MKB Fakel,"Command + semi-active / active radar homing (variant-dependent)",
C-300/C-400,surface-to-air missile,russia,long-range SAM,,,,,Almaz-Antey Corporation,Almaz-Antey,,
C-400,surface-to-air missile,russia,long-range SAM / anti-ballistic,5P85SM2 TEL,S-400 Triumf,SA-21 Growler,2007,Almaz-Antey Corporation,Kalinin Machine-Building Plant,"Command + active radar homing",
