time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details,source
2026-05-05 18:00,2026-05-06 08:00,Iskander-M,Rostov oblast,Ukraine,,2.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02ey7LP6u8Q6i1g25k4QKoqz1VBNaFV2mZqyufSMUK15nMaN27rdXghREtLwNWiHVDl
2026-05-06,2026-05-06,Unknown UAV,,south,,50.0,50.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02XSAL5w89WacNtR3HhuuJpXTo143rHH2RpVYmrgbedHBLgPpAHyMXJ8VSrt442YfAl
2026-05-04 18:00,2026-05-05 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,164.0,149.0,0.0,1.0,{},,14.0,10.0,,,,,"{'south': 24, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02gBmWBkw7NmYXqrtpUKx8XmfyesW6jzerYmVr7ct43yS3r581gQZz7bsaBPPvrqBal
2026-05-04 18:00,2026-05-05 08:00,Iskander-M,Bryansk oblast and Voronezh oblast and Rostov oblast,Ukraine,,11.0,1.0,2.0,,{},,,,,,,,,,,kpszsu/posts/pfbid02gBmWBkw7NmYXqrtpUKx8XmfyesW6jzerYmVr7ct43yS3r581gQZz7bsaBPPvrqBal
2026-05-05,2026-05-05,Unknown UAV,,south,,61.0,61.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02fB86VPvLX9xWeVNbfzWdiW2UJpKzWkiWysH4CjCS5ZMgHfvrpQa3WZUaZE6QAdpdl
2026-05-04 08:30,2026-05-04 18:30,Shahed-136/131,,Ukraine,,88.0,70.0,0.0,4.0,{},,,,,,,,"{'south': NaN, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02PjP5HswkC9tbHbPN35mRdrvVSHv9k1Gy1DpDDxU3is177BEoftBw6xMn3Nzy8EL4l
2026-05-03 18:30,2026-05-04 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,155.0,135.0,0.0,6.0,{},,10.0,4.0,,,,,"{'south': 24, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02vSNwCWtAN6esfSX7figto2ByoX9cUAV1GU56Ha5aDMvThyDJ948Gu2ke1Gzw8CnRl
2026-05-04,2026-05-04,Unknown UAV,,south,,33.0,33.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02PPHZRMS7XrEBcy2wX6dDe3iqSPQH3ykWxrSR5AKVBKu71QWiayRb5i8Vu4iMd9J9l
2026-05-04,2026-05-04,Iskander-M,,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02PjP5HswkC9tbHbPN35mRdrvVSHv9k1Gy1DpDDxU3is177BEoftBw6xMn3Nzy8EL4l
2026-05-03 08:30,2026-05-03 18:30,Shahed-136/131,,Ukraine,,234.0,175.0,0.0,,{},,,,,,,,"{'south': NaN, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid022bH7g4Foi5YnE1q7pPsHs85tZWMAXedEt6DKhgyJQjKxTByCD2WTCnCG1nZcVCUhl
2026-05-03 15:00,2026-05-03 15:00,X-59/X-69,,Dnipro,,5.0,4.0,,,{},,,,,,,,,,,pvkshid/posts/pfbid02sCeSitrUf7U3aCdE3pej9SNgsdhte2wgYgNMjq4Dx7fUwgUdyQADSioH5fQatm9ol
2026-05-02 19:00,2026-05-03 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,268.0,249.0,0.0,0.0,{},160.0,15.0,1.0,,,,,"{'south': 69, 'east': 56, 'north': NaN}",,,kpszsu/posts/pfbid02sgPMPcCLJcT6qMiJYXYii7EwFybZohPC9muaXVMBL3ptjnn6UezWv4pBCPHk7ofwl
2026-05-02 19:00,2026-05-03 08:00,Iskander-M,Kursk oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02sgPMPcCLJcT6qMiJYXYii7EwFybZohPC9muaXVMBL3ptjnn6UezWv4pBCPHk7ofwl
2026-05-03,2026-05-03,Unknown UAV,,south,,50.0,50.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid022jb4tF8VAPYUZS3JHSDPSaaQDQc3AbzsSgJ8Jm6VWHthPcdFff9a3EuXMpw5EY3l
2026-05-03,2026-05-03,Iskander-M,Crimea,Mykolaiv oblast,,2.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid022bH7g4Foi5YnE1q7pPsHs85tZWMAXedEt6DKhgyJQjKxTByCD2WTCnCG1nZcVCUhl
2026-05-02 08:00,2026-05-02 18:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,227.0,220.0,0.0,0.0,{},135.0,6.0,5.0,,,,,"{'south': NaN, 'east': 90, 'north': NaN}",,,kpszsu/posts/pfbid0iGLTQFnG3ipcE9FLr11g1WurtiXcD6Jy1vUwHyYNeKtttCk7JUtnJvXdZoEAUxnhl
2026-05-01 18:00,2026-05-02 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,163.0,142.0,0.0,4.0,{},100.0,12.0,2.0,,,,,"{'south': 139, 'east': 85, 'north': NaN}",,,kpszsu/posts/pfbid0iGLTQFnG3ipcE9FLr11g1WurtiXcD6Jy1vUwHyYNeKtttCk7JUtnJvXdZoEAUxnhl
2026-05-02,2026-05-02,Unknown UAV,,south,,58.0,58.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0aj4NemperZkiWw8VuYGCS74aXYRwrNb1jHSVZtbnfg7yXtKWca5PMoSb3fVzq2HUl
2026-05-01 08:00,2026-05-01 15:30,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,409.0,388.0,0.0,5.0,{},250.0,6.0,11.0,,,,,"{'south': NaN, 'west': 58, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0SAhVoeYyR1SLCxaFbdscJkM8Upb7nRVWGncsAAfpBU7smdpch9UfRPxE8bpJ5xYQl
2026-04-30 17:45,2026-05-01 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,210.0,190.0,0.0,0.0,{},140.0,14.0,10.0,,,,,"{'south': 91, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02Wiz6RBC77rWcCYMxzxKBYBfbGFxigH2vLDWapV4xwD3GtncVo7MMmoHU35JrgWM2l
2026-05-01,2026-05-01,Unknown UAV,,south,,73.0,73.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid037GE9WRDPiiUaDLXqAGEMB3z4xA7UA7BMjwyNtEQbc3r7hmUD2Va8385PoRwEJi24l
2026-04-29 18:00,2026-04-30 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,206.0,172.0,0.0,2.0,{},140.0,22.0,9.0,,,,,"{'south': 98, 'west': 1, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02vo1zosyAUAAFJvkFE3tf5ERPV1mkxrhr4okPMzQ6Qq5kPAg4t1aRYzYKfRCQUCmul
2026-04-29 18:00,2026-04-30 08:00,Iskander-M,Rostov oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02vo1zosyAUAAFJvkFE3tf5ERPV1mkxrhr4okPMzQ6Qq5kPAg4t1aRYzYKfRCQUCmul
2026-04-30,2026-04-30,Unknown UAV,,south,,59.0,59.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02qHoAsUsvqnxPGbeMLP54NUSFAfCGqnaMhk2oq6YMWv5fHM8GrtutJwgysxCgY1cTl
2026-04-28 18:00,2026-04-29 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,171.0,154.0,0.0,5.0,{},120.0,10.0,12.0,,,,,"{'south': 62, 'east': 120, 'north': NaN}",,,kpszsu/posts/pfbid0kHqtgv39wECjdifjcHdGuordKV4YxqS6rRTYm39PzfGxeveCYroxhy8egQ6mhmaJl
2026-04-29,2026-04-29,Unknown UAV,,south,,52.0,52.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0j4K5Fsc5NbQSyrimL7oM8461zMCUj1eZ3sgczjgU5zomJjMdnJBBDUQhW3BTmLJkl
2026-04-27 18:00,2026-04-28 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,123.0,95.0,0.0,9.0,{},80.0,16.0,4.0,,,,,"{'south': 39, 'east': 65, 'north': NaN}",,,kpszsu/posts/pfbid02mijTLHLqJ6XHe5L3oZZVWBYGb1A2ZH856c7sRcy6w9S2JJUGN4p4ZUs8yUyCxMPCl
2026-04-28,2026-04-28,Unknown UAV,,south,,53.0,53.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0hpzmypqwdTaWBQbmLwz3ZP5G6Md7V8jCV5o8iMNEWMDXSe1JKq3bUUEhmqruchyDl
2026-04-26 18:00,2026-04-27 09:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Shatalovo and Hvardiiske, Crimea",Ukraine,,94.0,74.0,0.0,0.0,{},60.0,15.0,11.0,,,,,"{'south': 43, 'east': NaN, 'north': NaN}",,,https://t.me/kpszsu/60825
2026-04-27,2026-04-27,Unknown UAV,,south,,38.0,38.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid031EXwA4iS3Tw69hz3y37SR8yhkrFE9PXQnz5kVeGKCseqBJ8YMcPPMismctQHwf4Pl
2026-04-25 18:00,2026-04-26 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Donetsk oblast,Ukraine,,144.0,124.0,0.0,1.0,{},100.0,11.0,6.0,,,,,"{'south': 45, 'east': 74, 'north': NaN}",,,kpszsu/posts/pfbid07tNfEq5DKYHmi4tkrQD8gnKkYBdDmbC9mqfVhue1TStkrUxW9B5BYxWwjP2xY5QYl
2026-04-26,2026-04-26,Unknown UAV,,south,,40.0,40.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02LDUvgP6cNUzKev2wfV4uJKJgfmXDVoFNvmQi3ycnawvir38whSX29vgH9TM4WEcHl
2026-04-24 18:00,2026-04-25 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,Dnipro,619.0,580.0,0.0,3.0,{},400.0,23.0,9.0,,,,"['Dnipro oblast', 'Odesa oblast', 'Kyiv oblast', 'Sumy oblast', 'Chernihiv oblast', 'Kharkiv oblast']","{'south': 142, 'west': 2,'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid02doHS8icaHdTGyKqSJiQfNGE72WgV9GomeiyDK1BYVfLjxbZ3PMgSwfCQ8ode5oKkl
2026-04-24 18:00,2026-04-25 08:00,Iskander-K,Bryansk oblast,Ukraine,,1.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02doHS8icaHdTGyKqSJiQfNGE72WgV9GomeiyDK1BYVfLjxbZ3PMgSwfCQ8ode5oKkl
2026-04-24 18:00,2026-04-25 08:00,C-400 and Iskander-M,Kursk oblast and Millerovo and Crimea and Yeysk,Ukraine,,12.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02doHS8icaHdTGyKqSJiQfNGE72WgV9GomeiyDK1BYVfLjxbZ3PMgSwfCQ8ode5oKkl
2026-04-25 03:00,2026-04-25 06:00,X-101/X-555,Caspian Sea,Ukraine,,29.0,26.0,,,{},,,,,,,,{'south': 17},,,kpszsu/posts/pfbid02doHS8icaHdTGyKqSJiQfNGE72WgV9GomeiyDK1BYVfLjxbZ3PMgSwfCQ8ode5oKkl
2026-04-25 03:00,2026-04-25 06:00,Kalibr,Caspian Sea,Kyiv oblast,,5.0,4.0,,,{},,,,Navi,,,,,,,kpszsu/posts/pfbid02doHS8icaHdTGyKqSJiQfNGE72WgV9GomeiyDK1BYVfLjxbZ3PMgSwfCQ8ode5oKkl
2026-04-25,2026-04-25,Unknown UAV,,south,,84.0,84.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid022QF7fEdZYhPA8oLqYwWQcGkumokJuKnAowLdj2V4M2Fxkg4FkwXYFPd8bbXaZS92l
2026-04-23 18:00,2026-04-24 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo and Hvardiiske, Crimea",Ukraine,,107.0,96.0,0.0,1.0,{},70.0,9.0,2.0,,,,,"{'south': 40, 'east': NaN, 'north': NaN}",,,kpszsu/posts/pfbid0342vhLnXbesmGwMvLQZN6QsJYRxMzjz2zJMfbGBxLWrx1CqMpRajYqrNv4LQomiJrl
2026-04-23 18:00,2026-04-24 08:00,Iskander-M,Rostov oblast,Ukraine,,2.0,0.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid0342vhLnXbesmGwMvLQZN6QsJYRxMzjz2zJMfbGBxLWrx1CqMpRajYqrNv4LQomiJrl
2026-04-24,2026-04-24,Unknown UAV,,south,,45.0,45.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid0mos846A11ERUrgaPNnWJpJcUf3zzGob3RofmHzzbLkxSmGV4gFha65z79wrjmfswl
2026-04-22 18:00,2026-04-23 08:00,Shahed-136/131,Primorsko-Akhtarsk and Kursk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,,155.0,139.0,0.0,5.0,{},100.0,9.0,4.0,,,,,"{'south': 27, 'east': 118, 'north': NaN}",,,kpszsu/posts/pfbid02ZtZb8Gs9UPGcoez7zXYvb9kXkSyvjZasWaW8hS6vpFczEadccwhHNBcJqt9Y9eL9l
2026-04-23,2026-04-23,Unknown UAV,,south,,15.0,15.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid023H2To1JZZKwZ3NVZCitVpYKcw2nttzECwzw3ZFXkV1x2TfQWekrC2grwR2CHyMpel
2026-04-21 18:00,2026-04-22 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Shatalovo",Ukraine,,215.0,189.0,0.0,2.0,{},140.0,13.0,6.0,,,,,"{'south': 60, 'east': 89, 'north': NaN}",,,kpszsu/posts/pfbid02GpnrmVhhfCY9mYRKQvVYZVxEWoT66ZX2gCM1tQvpzXfDgmdFDierEyCFQgG5ZW3Bl
2026-04-22,2026-04-22,Unknown UAV,,south,,73.0,73.0,,,{},,,,,,,,,,,PvKPivden/posts/pfbid02pvPQ4AuzeV2BKxebgj5f7wBpWkkNyiMJsbfz9igY31UKCiM94aVx6qqKmHqtPrJfl
2026-04-20 18:00,2026-04-21 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,143.0,116.0,0.0,5.0,{},80.0,17.0,0.0,,,,,"{'south': 11, 'east': 85, 'north': NaN}",,,kpszsu/posts/pfbid02pBghwhB1pPC9LBuKtXdaa3a6kv3oKguqf8KmtmEHT3cpjTwR1kLvEnUPDZrnjHZfl
2026-04-20 18:00,2026-04-21 08:00,Iskander-M,Kursk oblast,Ukraine,,2.0,1.0,,,{},,,,,,,,,,,kpszsu/posts/pfbid02pBghwhB1pPC9LBuKtXdaa3a6kv3oKguqf8KmtmEHT3cpjTwR1kLvEnUPDZrnjHZfl
